Montant,Type,Timestamp,Origine,Destination
1.0,PAYMENT,2018-06-12 11:05:06,339240351832,339201848484
100.0,PAYMENT,2018-06-12 11:05:51,18222,3394444444444
100.0,P2P,2018-06-12 15:10:03,339221399401,18222
100.0,P2P,2018-06-12 15:11:51,18222,339221399401
90.0,P2P,2018-06-12 16:14:40,339221694703,339263769045
500.0,P2P,2018-06-12 16:15:56,339263769045,339245335610
1000.0,P2P,2018-06-12 16:17:40,339269361905,339247260853
1000.0,P2P,2018-06-12 16:21:14,339269972347,339224841615
2000.0,P2P,2018-06-12 16:34:05,339221964709,339261792813
1000.0,P2P,2018-06-12 16:58:45,339224750264,339222084747
100.0,P2P,2018-06-12 17:01:41,339226581808,339221433733
1000.0,P2P,2018-06-12 17:15:12,339269361905,339221827374
600000.0,P2P,2018-06-12 17:18:21,339227235775,339248905555
2000.0,P2P,2018-06-12 17:19:28,339227235775,339248905555
90.0,P2P,2018-06-12 17:28:08,339225307357,339241456798
100.0,P2P,2018-06-12 17:42:05,339261688603,339222305094
100.0,P2P,2018-06-12 17:43:42,339261688603,339222305094
100.0,P2P,2018-06-12 17:44:29,339261688603,339222305094
602000.0,P2P,2018-06-12 18:13:19,339248905555,339227235775
100.0,P2P,2018-06-12 18:39:54,339261688603,339224750264
100.0,P2P,2018-06-12 18:46:26,339227235775,339222755335
100.0,PAYMENT,2018-06-12 18:47:33,339222755335,339339575
100.0,PAYMENT,2018-06-12 19:10:49,339226581808,339459270
25000.0,P2P,2018-06-12 20:11:02,339242231010,339228976306
100.0,P2P,2018-06-12 20:39:40,339228489533,339247479779
100.0,P2P,2018-06-12 20:48:53,339225811488,339229200278
4100.0,P2P,2018-06-12 20:53:31,339227235775,339228756651
94950.0,P2P,2018-06-12 21:13:53,339223165921,339224653965
100.0,P2P,2018-06-12 21:22:04,339244760051,339228911932
100.0,P2P,2018-06-12 21:45:26,339267809906,339249420837
23000.0,P2P,2018-06-12 22:13:09,339228976306,339264527673
100.0,P2P,2018-06-12 22:18:41,339224811346,339222305094
6500.0,PAYMENT,2018-06-12 22:26:50,339224106329,339339551
3000.0,P2P,2018-06-12 22:27:55,339228584905,339269685805
100.0,P2P,2018-06-12 23:32:31,339224724225,339222305094
4000.0,P2P,2018-06-13 00:12:22,339269685805,339227880630
100.0,P2P,2018-06-13 00:34:38,339221964709,339225258888
8.0,P2P,2018-06-13 01:15:17,339229202929,339226091471
40000.0,P2P,2018-06-13 08:52:41,339228348075,339223816900
10000.0,P2P,2018-06-13 09:52:00,339221399401,15030
1350.0,P2P,2018-06-13 10:03:59,339241861892,339246251698
5800.0,PAYMENT,2018-06-13 10:46:48,339224770035,339339551
100000.0,P2P,2018-06-13 11:26:41,339248905555,339227235775
850.0,PAYMENT,2018-06-13 11:55:54,33576,339339556
1000.0,P2P,2018-06-13 12:41:34,339229676093,339229977188
100.0,P2P,2018-06-13 13:02:06,339224811346,339222305094
1000.0,P2P,2018-06-13 13:12:36,339261226798,339226231724
50.0,P2P,2018-06-13 13:14:25,339221350618,84682
1000.0,P2P,2018-06-13 13:15:32,339221712256,339248378855
4000.0,P2P,2018-06-13 13:16:03,339261226798,339226231724
2500.0,P2P,2018-06-13 13:32:13,339269972347,339222616788
40500.0,PAYMENT,2018-06-13 14:11:32,339221318104,339339551
5000.0,P2P,2018-06-13 14:45:39,339221815930,339229396431
4050.0,P2P,2018-06-13 14:47:11,339227464935,339227692663
490000.0,P2P,2018-06-13 14:52:39,339224449999,339228533997
6850.0,PAYMENT,2018-06-13 15:03:51,339224137570,339339556
8400.0,PAYMENT,2018-06-13 15:49:40,339227207740,339339575
6500.0,P2P,2018-06-13 15:52:26,339229301435,339226231724
4150.0,PAYMENT,2018-06-13 16:38:17,339224874962,339339551
11100.0,PAYMENT,2018-06-13 16:40:37,339224750264,339339551
10000.0,P2P,2018-06-13 16:47:25,339241662990,339263695541
1000.0,P2P,2018-06-13 17:07:23,339227880630,339242751952
2000.0,P2P,2018-06-13 17:40:50,339228456589,339244896022
500.0,P2P,2018-06-13 17:43:55,339227880630,339263409780
2000.0,P2P,2018-06-13 17:59:47,339244896022,339228456589
500.0,P2P,2018-06-13 19:40:29,339269245762,339221905557
100.0,PAYMENT,2018-06-13 19:47:04,339240049043,339339937
100.0,PAYMENT,2018-06-13 19:48:50,339240049043,339339937
10000.0,P2P,2018-06-13 20:39:40,339220442910,339228494137
490.0,P2P,2018-06-13 20:44:43,29523,339241779954
12000.0,PAYMENT,2018-06-13 20:57:51,339269435928,339339575
15000.0,P2P,2018-06-13 20:59:37,339226373533,339249899101
150.0,P2P,2018-06-13 21:01:35,339226373533,339249899101
29000.0,PAYMENT,2018-06-13 21:04:21,339243064264,339339588
2050.0,P2P,2018-06-13 21:11:08,339263769045,339223450625
300.0,P2P,2018-06-13 22:05:33,339222086159,339222085618
500000.0,P2P,2018-06-13 22:10:56,339227235775,339229200278
250.0,PAYMENT,2018-06-13 22:19:02,339228219038,339339556
23000.0,P2P,2018-06-13 22:24:26,339264527673,339228976306
10050.0,P2P,2018-06-13 22:42:57,339228976306,339224856473
9000.0,P2P,2018-06-13 22:43:35,339220954266,339240323270
3000.0,PAYMENT,2018-06-13 23:01:31,339221232669,339339951
5100.0,P2P,2018-06-14 03:20:46,339267544712,339222616788
500.0,P2P,2018-06-14 08:17:07,339228317662,339263502051
3000.0,P2P,2018-06-14 10:40:49,339221399401,339223248252
9500.0,P2P,2018-06-14 11:20:52,339227091773,339267428897
11400.0,PAYMENT,2018-06-14 12:39:33,339261275550,339339556
50250.0,P2P,2018-06-14 12:58:25,339227517490,339228976306
850.0,PAYMENT,2018-06-14 13:10:25,339220711111,339339537
100.0,PAYMENT,2018-06-14 13:17:34,339220711111,339339537
2000.0,P2P,2018-06-14 13:19:47,339227880630,339269701318
1000.0,P2P,2018-06-14 13:20:06,339227880630,339227445370
100.0,PAYMENT,2018-06-14 13:43:00,339220711111,339339710
500.0,P2P,2018-06-14 13:53:49,339221349235,339261822117
100.0,PAYMENT,2018-06-14 13:59:00,339261822117,339339951
100.0,PAYMENT,2018-06-14 14:01:32,339220711111,339339993
100.0,PAYMENT,2018-06-14 14:16:16,339261822117,339339787
1000.0,P2P,2018-06-14 14:33:59,339225177682,339222755335
88900.0,P2P,2018-06-14 14:54:49,339244283449,339228542904
220000.0,P2P,2018-06-14 15:08:35,339221258138,339221517365
100.0,PAYMENT,2018-06-14 15:10:28,339261822117,339339957
100.0,PAYMENT,2018-06-14 15:24:53,339261822117,339339554
5000.0,P2P,2018-06-14 15:34:29,339225997329,339242401023
100.0,PAYMENT,2018-06-14 15:54:23,339222755335,339339550
83000.0,P2P,2018-06-14 16:16:51,339228542904,339244283449
100.0,PAYMENT,2018-06-14 16:29:40,339222755335,339339557
100.0,P2P,2018-06-14 16:59:18,339221662997,339224080861
1000.0,P2P,2018-06-14 17:23:36,339268436052,339268015181
3000.0,PAYMENT,2018-06-14 17:24:54,339220551172,339339951
400.0,P2P,2018-06-14 18:09:51,339220438008,339228147797
100.0,P2P,2018-06-14 18:10:54,339220438008,339228147797
500.0,P2P,2018-06-14 18:12:02,339227880630,339222652159
100.0,PAYMENT,2018-06-14 18:26:21,339222755335,339339530
1000.0,PAYMENT,2018-06-14 18:55:31,339224770035,339339551
3000.0,P2P,2018-06-14 19:04:26,339223219701,339224281227
10000.0,P2P,2018-06-14 19:09:03,339223219701,339224281227
2000.0,P2P,2018-06-14 19:10:50,339223219701,339225819936
9800.0,P2P,2018-06-14 20:03:54,339223219701,339225819936
10000.0,P2P,2018-06-14 20:11:16,339224779292,339222962124
55000.0,P2P,2018-06-14 20:16:59,339224779292,339225892294
9800.0,P2P,2018-06-14 20:21:47,339225819936,339223219701
8000.0,P2P,2018-06-14 21:02:08,339244283449,339228542904
20000.0,P2P,2018-06-14 21:07:12,339227817275,339242231010
2000.0,P2P,2018-06-14 21:12:39,339263617600,339227027395
2000.0,P2P,2018-06-14 22:13:41,339261319866,339226112257
100.0,CASHIN,2018-06-14 22:17:53,33922832723899,3396555559
500.0,P2P,2018-06-14 22:45:23,339228007475,339249267475
5000.0,P2P,2018-06-14 22:57:42,339253518199,339229210992
100.0,P2P,2018-06-15 00:38:56,339229200278,339244195188
375.0,PAYMENT,2018-06-15 08:34:06,339229837964,339339575
1000.0,P2P,2018-06-15 08:51:50,339248905555,339227139283
301500.0,P2P,2018-06-15 09:28:11,339267933217,339221765236
500.0,P2P,2018-06-15 09:55:43,339227880630,339223770711
300.0,PAYMENT,2018-06-15 10:07:36,339223038465,339339550
500.0,P2P,2018-06-15 10:10:02,339227248728,339251860561
100000.0,P2P,2018-06-15 10:14:53,339227235775,339221424651
2000.0,PAYMENT,2018-06-15 10:51:36,339220711111,339339993
2000.0,P2P,2018-06-15 11:06:38,339227880630,339224757674
100.0,P2P,2018-06-15 11:10:06,339227880630,339224757674
500.0,P2P,2018-06-15 11:24:24,339227880630,339243690969
100.0,P2P,2018-06-15 11:25:55,339227880630,339243690969
2000.0,P2P,2018-06-15 11:28:46,339227880630,339248064755
5000.0,P2P,2018-06-15 12:23:46,339223219701,339221106411
5000.0,P2P,2018-06-15 12:27:49,339227880630,339247983131
4000.0,P2P,2018-06-15 12:29:40,339221106411,339252457034
500.0,PAYMENT,2018-06-15 12:32:10,339224059799,339955669
1500.0,P2P,2018-06-15 12:32:23,339228317662,339263502051
2000.0,P2P,2018-06-15 12:32:51,339247983131,339229758484
500.0,P2P,2018-06-15 12:35:12,339227880630,339228560042
500.0,P2P,2018-06-15 12:36:16,339226119829,339246234140
1000.0,P2P,2018-06-15 12:46:00,339263769045,339223450625
3010.0,P2P,2018-06-15 12:47:52,339221964709,31570
300.0,PAYMENT,2018-06-15 12:50:30,339248905555,339339539
3010.0,P2P,2018-06-15 12:52:09,31570,339221964709
4000.0,P2P,2018-06-15 13:08:09,339228976306,339264527673
20.0,PAYMENT,2018-06-15 13:14:21,339247952274,339287428685
4000.0,P2P,2018-06-15 13:22:21,339227880630,339252836670
4000.0,P2P,2018-06-15 13:22:55,339252836670,339269685805
500.0,P2P,2018-06-15 13:23:53,339227880630,339222209325
500.0,P2P,2018-06-15 13:26:04,339226119829,339229495861
10.0,PAYMENT,2018-06-15 13:27:22,339227884507,339287425038
500.0,P2P,2018-06-15 13:27:29,339227880630,339220645322
1000.0,PAYMENT,2018-06-15 13:28:19,339227139283,339339999
6500.0,P2P,2018-06-15 13:40:46,339220525393,339223447635
5.0,PAYMENT,2018-06-15 13:41:22,339227884507,339287425038
500.0,P2P,2018-06-15 13:42:23,339227880630,339224076393
2000.0,P2P,2018-06-15 13:44:40,339252457034,339245966894
650.0,PAYMENT,2018-06-15 13:45:15,339222278534,339339554
4100.0,PAYMENT,2018-06-15 13:48:43,339266777304,339339551
5000.0,P2P,2018-06-15 13:56:46,339227880630,339226718224
3100.0,PAYMENT,2018-06-15 13:58:21,339227818454,339339556
50.0,PAYMENT,2018-06-15 14:02:43,339223973982,339339533
10000.0,PAYMENT,2018-06-15 14:12:35,339227246963,339339712
1000.0,P2P,2018-06-15 14:13:10,339227880630,339229126700
9000.0,P2P,2018-06-15 14:26:41,339284800336,339280559692
90000.0,P2P,2018-06-15 14:36:30,339221947228,339224149498
2500.0,P2P,2018-06-15 14:40:20,339222084747,339224750264
5600.0,P2P,2018-06-15 14:41:20,339224750264,339244769292
5000.0,P2P,2018-06-15 15:03:12,339228288769,339225998088
1000.0,P2P,2018-06-15 15:06:07,339227880630,339221370884
100.0,PAYMENT,2018-06-15 15:11:36,339222275888,339339573
50000.0,P2P,2018-06-15 15:28:22,339221363242,339227507643
1300.0,PAYMENT,2018-06-15 15:35:12,339223475328,339339598
5000.0,P2P,2018-06-15 15:40:33,339224149498,339221947228
1000.0,P2P,2018-06-15 15:44:03,339227880630,339229109559
90.0,P2P,2018-06-15 15:49:42,339224843939,339224835581
18395.0,PAYMENT,2018-06-15 16:00:14,339228642092,339339551
100.0,PAYMENT,2018-06-15 16:00:53,339222656405,339339712
9900.0,P2P,2018-06-15 16:01:55,339221391693,339223342146
4000.0,P2P,2018-06-15 16:10:43,339227884507,339229156611
49500.0,P2P,2018-06-15 16:10:56,339221589073,339222956725
1300.0,PAYMENT,2018-06-15 16:17:06,339228339350,339339556
17000.0,P2P,2018-06-15 16:27:10,339227969209,339228229915
500.0,P2P,2018-06-15 16:42:44,339227880630,339243956850
500.0,P2P,2018-06-15 16:44:38,339243956850,339269685805
3100.0,PAYMENT,2018-06-15 16:47:47,339220789877,339339573
1000.0,P2P,2018-06-15 16:54:19,339227880630,339228227321
1500.0,PAYMENT,2018-06-15 16:57:14,339252841191,339339951
7000.0,P2P,2018-06-15 17:03:49,339228976306,339226604659
1500.0,PAYMENT,2018-06-15 17:09:59,339224864587,339339951
405450.0,CASHIN,2018-06-15 17:30:21,339229662095,339353159
1.0,CASHIN,2018-06-15 17:31:54,339057238,339353153
9000.0,PAYMENT,2018-06-15 17:35:39,339285990959,339339588
50000.0,P2P,2018-06-15 17:49:58,339224433994,80963
1500.0,P2P,2018-06-15 17:54:56,339268382318,339222967607
47000.0,CASHIN,2018-06-15 17:56:21,339264382557,339353153
726400.0,CASHIN,2018-06-15 17:57:20,339264382557,339353159
772900.0,CASHIN,2018-06-15 18:00:02,339264382531,339353159
400.0,PAYMENT,2018-06-15 18:01:06,339222756362,339339530
459750.0,CASHIN,2018-06-15 18:01:13,339264382531,339353153
2500.0,PAYMENT,2018-06-15 18:03:29,339224770035,339339953
352650.0,CASHIN,2018-06-15 18:05:54,339264382531,339353159
395150.0,CASHIN,2018-06-15 18:06:58,339264382531,339353153
618150.0,CASHIN,2018-06-15 18:07:57,339264382531,339353159
147200.0,CASHIN,2018-06-15 18:08:32,339264382963,339353159
200150.0,CASHIN,2018-06-15 18:08:55,339264382531,339353153
444000.0,CASHIN,2018-06-15 18:13:39,339264942783,339353159
256571.0,CASHIN,2018-06-15 18:17:50,339264382963,339353153
453250.0,CASHIN,2018-06-15 18:19:03,339264382963,339353159
648285.0,CASHIN,2018-06-15 18:20:01,339264382963,339353153
1000.0,P2P,2018-06-15 18:21:56,63790,339225323487
55000.0,P2P,2018-06-15 18:24:02,339228998498,339228110165
400.0,PAYMENT,2018-06-15 18:26:04,339267413995,339339573
1600.0,P2P,2018-06-15 18:26:17,339221910550,39546
